No.,Time,Comment,Scramble
92,10.83,,U' F2 R2 L' D' L' U2 R' F L' U R2 D B2 R2 F2 U2 L2 D'
93,15.19,,F' D2 R2 D2 B F D2 R2 B D' B2 U R U2 R2 U2 B2 F U
94,12.10,,U F2 L2 U2 L R2 U2 R F2 D2 U2 R' F' U' R B' F R2 B' L2
95,12.38,,U' F2 R F2 R F2 R' D2 B2 U2 L2 F' D' L2 U' F2 L U' R' B'
96,10.47,,D2 L' D2 B2 R' B2 R2 D2 R' B2 D B' L' D F2 U2 L F' U B
97,12.31,,D2 L' F2 L' U2 L F2 R2 D2 R' D' U' B' R' D2 B D F D' L2
98,13.90,,F U' B2 R' D' B' U2 L U D2 R' D2 L' B2 R' U2 R B2 L'
99,12.19,,D2 R2 B D2 F U2 B2 F' R2 D2 F' D' F' D2 U2 L F2 U L' B2 L'
100,13.28,,L' U2 B2 L' F2 D2 L B2 D2 R2 D B' F L D B2 L' R' U' B2
101,13.48,,U' R' L2 B L' U R2 D B' F2 L2 U' R2 D' F2 D' R2 L2 U F
102,11.92,,R' B2 L' F2 R' F2 R2 B2 U2 B2 F' U L2 B2 R2 F' D2 L
103,14.52,,U' R' F' U2 L' B' R F' U L' R2 F2 L2 D R2 L2 U' B2 D B2 D
104,14.73,,B2 U' B2 L U2 D' F2 L F D B2 U' L2 U2 B2 D L2 U' L2 D2 L
105,15.97,,U2 L2 B' R2 F U2 B D2 B' D B D' L' D2 R' B2 D2 F' D2
106,11.36,,R L2 D2 F' L2 F L2 U2 F2 U2 B2 F' U B F2 R' U' L2 B2 U' R'
107,12.86,,R' B2 D2 B2 D2 F' R2 B L2 F2 D2 L' D' R F U2 R2 B' L F'
108,12.95,,F2 L U2 R2 D2 R B2 R B2 D2 B2 D' F2 L' F D U' F2 L2
109,12.07,,R' F2 R2 B2 U' L2 U2 L2 U' L F D' F' U' R2 D' U R2
110,14.89,,U L2 F2 R2 U R2 D2 F2 R' B' D2 B' U B' U' B2 R' U2
111,11.29,,B' D' F L' D2 F D' L U2 D2 B' U2 D2 L2 F' L2 U2 B2 R
112,13.22,,U2 R2 B U2 L2 B' F' U2 B D2 U2 R F2 L F2 D F' D2 R D F'
113,10.28,,R' U2 R' B' R2 U L2 F L' U2 B2 D' R2 U2 F2 D2 B2 R2 D'
114,13.72,,D2 R F2 L U2 L2 F2 D2 F2 R2 D L' U2 F' L D' U' R2 B R2
115,14.04,,F2 L2 F2 D2 L B2 D2 L B2 U2 R D B2 F D2 R U B L B' R2
116,14.07,,U2 B2 R' U2 R D2 L R B2 U2 R F R' U B D' F L2 U2 F2 U2
117,10.36,,D2 B' D R2 L' F' B2 R D' B2 U' F2 L2 U L2 U' D' F2 B2 R
118,12.84,,R D2 U2 F2 R2 U2 R2 F' R2 F U2 F' L' F2 D' U L' F' U' B' F2
119,14.18,,R' L B' D2 B U R' L2 F R2 B2 D B2 D' R2 B2 U R2 U F
